epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86088306,0.10414016,0.20733921,0.056930292,10.0,-1.8446131,0.0,20.0,0.05
1,0.8588522,0.10638813,0.20595334,0.06540843,20.0,-2.3178282,0.0,40.0,0.0
2,0.85679126,0.10845902,0.20528807,0.065189905,30.0,-3.0831995,0.0,60.0,0.0
3,0.85368544,0.10825949,0.20502947,0.06681382,40.0,-3.5189598,0.1,80.0,0.0
4,0.854513,0.107122846,0.20535463,0.06512246,50.0,-4.2790546,0.2,100.0,0.1
5,0.85451,0.1065167,0.20488302,0.06653596,60.0,-5.304327,0.2,120.0,0.05
6,0.8529656,0.10783418,0.20519277,0.068845026,70.0,-6.3108435,0.0,140.0,0.05
7,0.85240275,0.107064374,0.20546287,0.069448054,80.0,-6.4877596,0.2,160.0,0.0
8,0.85116935,0.10584893,0.20532589,0.06900905,90.0,-5.825492,0.5,180.0,0.0
9,0.850996,0.10615718,0.20559515,0.07280268,100.0,-6.974902,0.1,200.0,0.0
10,0.8505585,0.10573662,0.20545399,0.072267026,110.0,-6.5018935,0.6,220.0,0.05
11,0.8499891,0.10530277,0.20594506,0.0732767,120.0,-7.515982,0.4,240.0,0.1
12,0.8492835,0.10516354,0.20511128,0.07913961,130.0,-9.4662485,0.2,260.0,0.0
13,0.8474264,0.10885763,0.2043272,0.08145449,140.0,-8.410272,0.5,280.0,0.0
14,0.8464784,0.10952428,0.20433275,0.083079755,150.0,-11.400041,0.0,300.0,0.0
15,0.8471307,0.11131052,0.20458265,0.08510676,160.0,-6.2650423,0.5,320.0,0.0
16,0.84611607,0.11398139,0.20459418,0.08932968,170.0,-8.250237,0.4,340.0,0.0
17,0.84510607,0.11481565,0.20473897,0.09073779,180.0,-9.885748,0.5,360.0,0.0
18,0.844774,0.11473724,0.2047985,0.090824015,190.0,-8.919147,0.4,380.0,0.0
19,0.84452224,0.11910648,0.20480904,0.09445875,200.0,-9.028541,0.4,400.0,0.0
20,0.8429658,0.12100191,0.20380127,0.09671845,210.0,-8.3739395,0.4,420.0,0.05
21,0.8429734,0.120033674,0.20347683,0.09620431,220.0,-10.344651,0.3,440.0,0.05
22,0.8426771,0.1204738,0.20380981,0.09860066,230.0,-11.971907,0.3,460.0,0.0
23,0.8426719,0.12077061,0.20351641,0.09901912,240.0,-12.405583,0.2,480.0,0.05
24,0.8425947,0.12117132,0.20408326,0.10144582,250.0,-11.110456,0.2,500.0,0.05
25,0.8427787,0.12125065,0.20364146,0.104353085,260.0,-11.597791,0.3,520.0,0.0
26,0.8429808,0.12059462,0.2042822,0.10593553,270.0,-10.232513,0.2,540.0,0.05
27,0.84316516,0.12182372,0.20419075,0.107961744,280.0,-10.953661,0.2,560.0,0.15
28,0.8431967,0.121614404,0.20398964,0.10854214,290.0,-13.162725,0.2,580.0,0.1
29,0.84363705,0.120942436,0.20390308,0.10936186,300.0,-10.312979,0.4,600.0,0.05
30,0.84387296,0.12158949,0.20447145,0.110968016,310.0,-12.379618,0.1,620.0,0.1
31,0.8437414,0.12195122,0.20449154,0.11199647,320.0,-5.8260994,0.8,640.0,0.2
32,0.8437629,0.12187016,0.20418963,0.114650056,330.0,-7.9363074,0.4,660.0,0.1
33,0.84378344,0.122126676,0.20442308,0.11556169,340.0,-9.263361,0.6,680.0,0.2
34,0.8436391,0.12163488,0.20458658,0.11606019,350.0,-11.435789,0.5,700.0,0.05
35,0.84389156,0.12326243,0.20479691,0.11720299,360.0,-8.65167,0.4,720.0,0.0
36,0.8443386,0.1254298,0.20457172,0.11888493,370.0,-8.682197,0.5,740.0,0.1
37,0.8444478,0.12609158,0.2046945,0.11980216,380.0,-11.6777115,0.3,760.0,0.1
38,0.8444192,0.12680319,0.20459537,0.12031473,390.0,-9.207305,0.5,780.0,0.2
39,0.8445143,0.12762327,0.2046719,0.12110708,400.0,-12.35435,0.3,800.0,0.15
40,0.84472054,0.12759273,0.20434375,0.12164565,410.0,-8.931932,0.4,820.0,0.1
41,0.8441388,0.1276669,0.20434895,0.122296564,420.0,-10.05628,0.6,840.0,0.05
42,0.8434672,0.12868927,0.20418258,0.12348896,430.0,-8.868948,0.7,860.0,0.3
43,0.8432691,0.12848914,0.20377682,0.12453477,440.0,-11.375233,0.4,880.0,0.1
44,0.84280187,0.12987083,0.20368822,0.12555951,450.0,-16.182346,0.2,900.0,0.1
45,0.8422568,0.13053155,0.20330355,0.1263558,460.0,-12.710537,0.3,920.0,0.15
46,0.8423996,0.13092494,0.20319782,0.12699528,470.0,-9.21142,0.6,940.0,0.05
