epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86917824,0.10058736,0.20792186,0.037287906,10.0,-1.4591625,0.3,20.0,0.0
1,0.8688329,0.10103587,0.20793934,0.040817343,20.0,-2.4100757,0.2,40.0,0.05
2,0.86846143,0.10116345,0.20794578,0.041339178,30.0,-3.233593,0.1,60.0,0.1
3,0.86810493,0.10120372,0.2079731,0.042893562,40.0,-2.783176,0.7,80.0,0.05
4,0.86754274,0.101317644,0.20779987,0.044590034,50.0,-3.5494072,0.4,100.0,0.05
5,0.86720866,0.1012826,0.20775527,0.047064915,60.0,-2.689694,0.9,120.0,0.1
6,0.8665373,0.10135588,0.20751008,0.04768704,70.0,-4.953615,0.6,140.0,0.05
7,0.86598945,0.10130325,0.20745225,0.048135657,80.0,-3.9935455,0.8,160.0,0.15
8,0.8656397,0.10150371,0.20741682,0.049979143,90.0,-3.1965146,0.8,180.0,0.0
9,0.8651285,0.101658486,0.20735143,0.050357193,100.0,-5.842124,0.5,200.0,0.0
10,0.8647194,0.10228205,0.20729285,0.052347194,110.0,-5.810387,0.7,220.0,0.05
11,0.8645318,0.10258039,0.2073292,0.054995317,120.0,-6.0264015,0.5,240.0,0.0
12,0.8642104,0.10286573,0.20732415,0.057189945,130.0,-8.638795,0.4,260.0,0.0
13,0.8637271,0.1031403,0.20732096,0.059038304,140.0,-7.3948565,0.5,280.0,0.05
14,0.86323386,0.103810705,0.20729867,0.061128035,150.0,-7.9860964,0.6,300.0,0.0
15,0.8629098,0.104674794,0.20706347,0.062851146,160.0,-5.825202,0.7,320.0,0.05
16,0.86266226,0.10514308,0.20703447,0.06478837,170.0,-9.14451,0.3,340.0,0.05
17,0.86245424,0.106982745,0.20708103,0.067372285,180.0,-6.0444016,0.9,360.0,0.05
18,0.86218,0.10827739,0.20719214,0.07006912,190.0,-12.033545,0.3,380.0,0.05
19,0.8620217,0.108800136,0.20739442,0.071803935,200.0,-9.950796,0.3,400.0,0.05
20,0.861847,0.10964268,0.2074699,0.07357964,210.0,-8.679357,0.5,420.0,0.0
21,0.8617733,0.11018773,0.2074581,0.07504282,220.0,-10.82695,0.0,440.0,0.15
22,0.8616032,0.1113407,0.20722464,0.07756753,230.0,-9.610132,0.2,460.0,0.05
