epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.868015,0.099402666,0.20738111,0.032898072,10.0,-1.9015799,0.1,20.0,0.15
1,0.8679347,0.099489234,0.20737983,0.034117855,20.0,-2.6259184,0.1,40.0,0.05
2,0.86789775,0.0994933,0.20735925,0.034577433,30.0,-3.2670064,0.2,60.0,0.0
3,0.86782265,0.099612735,0.20734997,0.03525288,40.0,-3.665406,0.2,80.0,0.05
4,0.8677241,0.099749885,0.20735176,0.036075316,50.0,-3.715479,0.6,100.0,0.05
5,0.86772543,0.0998412,0.20736481,0.03659238,60.0,-4.4480877,0.4,120.0,0.15
6,0.86766577,0.09985127,0.20735593,0.0368035,70.0,-6.3945227,0.1,140.0,0.1
7,0.8676527,0.10008555,0.20735903,0.03764898,80.0,-5.41663,0.4,160.0,0.05
8,0.86759883,0.10011613,0.20735571,0.0377608,90.0,-5.199016,0.4,180.0,0.15
9,0.86759037,0.100123525,0.20734787,0.037991475,100.0,-6.1934586,0.5,200.0,0.0
10,0.8675322,0.10015667,0.20734377,0.038423825,110.0,-6.197013,0.4,220.0,0.1
11,0.8675058,0.100201905,0.20733847,0.03879366,120.0,-6.911639,0.4,240.0,0.15
12,0.86744404,0.10023268,0.20732346,0.039116118,130.0,-6.629154,0.6,260.0,0.1
13,0.86741036,0.100271165,0.20733452,0.039791368,140.0,-3.6514206,0.9,280.0,0.1
14,0.8674152,0.10027611,0.20732789,0.04003583,150.0,-7.4583063,0.6,300.0,0.15
15,0.8673554,0.10033097,0.20730686,0.040211033,160.0,-6.5746636,0.8,320.0,0.05
16,0.8673067,0.1004704,0.20730807,0.040810715,170.0,-8.013345,0.5,340.0,0.0
17,0.8672597,0.1004619,0.20729336,0.04137805,180.0,-6.456224,0.7,360.0,0.2
18,0.86723226,0.10055873,0.2072877,0.041819558,190.0,-6.599717,0.7,380.0,0.0
19,0.8671493,0.1007377,0.20729737,0.04265724,200.0,-6.451398,0.8,400.0,0.05
20,0.8671179,0.10083926,0.20729856,0.043146666,210.0,-7.1214194,0.8,420.0,0.05
21,0.8670786,0.10095958,0.20729297,0.04341133,220.0,-9.881647,0.5,440.0,0.1
22,0.8670461,0.101074874,0.20729235,0.044249568,230.0,-6.651538,0.7,460.0,0.05
23,0.8670022,0.10123255,0.20730442,0.04471879,240.0,-10.439017,0.4,480.0,0.0
24,0.8669334,0.101301156,0.20731138,0.04537394,250.0,-6.147263,0.8,500.0,0.05
25,0.86688066,0.101367064,0.20731536,0.045865178,260.0,-6.680125,0.8,520.0,0.2
26,0.8668411,0.10136499,0.20733517,0.04618484,270.0,-5.2174253,0.9,540.0,0.2
27,0.8668208,0.10142759,0.20734087,0.04655037,280.0,-5.5265036,0.8,560.0,0.05
28,0.8667957,0.1014775,0.20735672,0.046930548,290.0,-3.9658794,0.9,580.0,0.3
29,0.8667496,0.10146794,0.20737201,0.047245078,300.0,-7.726251,0.7,600.0,0.3
