,epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.8680670625,0.09938657975,0.207398595,0.032438738,10.0,-1.9087201000000003,0.05,20.0,0.0625
1,1.0,0.8680264599999999,0.09944131275,0.20738871,0.033343766999999996,20.0,-2.5266597749999997,0.1,40.0,0.0625
2,2.0,0.8679821125,0.09948102774999999,0.207382545,0.034013614,30.0,-2.9068774750000004,0.3,60.0,0.0375
3,3.0,0.8679589725,0.09953955900000001,0.20738139500000002,0.03454759425,40.0,-3.6645759499999997,0.32499999999999996,80.0,0.07500000000000001
4,4.0,0.86793041,0.09954136625,0.2073785625,0.0350384525,50.0,-3.804357875,0.44999999999999996,100.0,0.15000000000000002
5,5.0,0.8678736699999999,0.09956397225,0.2073831025,0.035948943750000004,60.0,-4.302755275,0.45,120.0,0.0625
6,6.0,0.8678407324999999,0.09959510399999999,0.2073818225,0.036490954500000006,70.0,-4.2395,0.625,140.0,0.037500000000000006
7,7.0,0.867798115,0.09967312149999999,0.2073867075,0.037197038,80.0,-5.401510375,0.5249999999999999,160.0,0.1375
8,8.0,0.8677549849999999,0.099728501,0.20738928250000002,0.03781521775,90.0,-5.728134750000001,0.45,180.0,0.125
9,9.0,0.867694075,0.09975014625,0.2073856775,0.038339518249999996,100.0,-6.163731425,0.475,200.0,0.07500000000000001
10,10.0,0.8676434774999999,0.09981705625000001,0.20738305999999998,0.0388859955,110.0,-6.249241575000001,0.575,220.0,0.1
11,11.0,0.86758835,0.0998583125,0.2073722575,0.03935639825000001,120.0,-5.619573725,0.625,240.0,0.05
12,12.0,0.8675589750000001,0.09991807499999998,0.20736134499999997,0.03987739925,130.0,-6.361881275,0.6,260.0,0.075
13,13.0,0.8675032850000001,0.09996695224999999,0.2073517575,0.04037998425,140.0,-8.1712234,0.375,280.0,0.07500000000000001
14,14.0,0.8674591225,0.1000439125,0.20733975500000001,0.040936509499999996,150.0,-7.027054575,0.625,300.0,0.0625
15,15.0,0.86740014,0.1001305305,0.20733840750000002,0.041411945,160.0,-7.559508975,0.55,320.0,0.0875
16,16.0,0.8673563825,0.1001903935,0.2073324775,0.041925900999999995,170.0,-7.1571391250000005,0.575,340.0,0.1625
17,17.0,0.8673079324999999,0.1003262465,0.2073235925,0.042660150499999994,180.0,-7.2715486,0.6499999999999999,360.0,0.08750000000000001
18,18.0,0.867279925,0.10041819099999999,0.2073256175,0.043314032999999995,190.0,-7.15180485,0.6499999999999999,380.0,0.05
19,19.0,0.86723606,0.10053326524999999,0.20732069749999998,0.043863787,200.0,-7.276005250000001,0.65,400.0,0.0875
20,20.0,0.8671937875,0.10064577499999999,0.207318255,0.04456636725,210.0,-7.634723800000001,0.625,420.0,0.1
21,21.0,0.86716926,0.100721985,0.20731784,0.04506272925,220.0,-7.092750175000001,0.7500000000000001,440.0,0.1375
22,22.0,0.867105975,0.10087694875,0.20730939999999998,0.045806823,230.0,-6.014739925,0.775,460.0,0.11249999999999999
23,23.0,0.8670353700000001,0.1010323125,0.2072848175,0.0464010295,240.0,-6.079343075,0.8,480.0,0.11249999999999999
