epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8687889,0.10012501,0.20752564,0.03514102,10.0,-1.30621,0.4,20.0,0.15
1,0.8682005,0.100277185,0.20728943,0.039340634,20.0,-2.0091577,0.3,40.0,0.1
2,0.86793494,0.10049222,0.20726925,0.04198213,30.0,-2.9002223,0.2,60.0,0.1
3,0.86713433,0.10067809,0.20685066,0.044476256,40.0,-2.3939252,0.6,80.0,0.05
4,0.86617154,0.10214076,0.2066949,0.046987038,50.0,-3.7655501,0.5,100.0,0.0
5,0.86585456,0.102148294,0.20658329,0.048000194,60.0,-3.8445687,0.6,120.0,0.05
6,0.8652601,0.10251824,0.20659775,0.050954,70.0,-4.5522113,0.7,140.0,0.05
7,0.8646477,0.10364473,0.20646663,0.053074762,80.0,-4.2846823,0.9,160.0,0.15
8,0.86434335,0.10419791,0.2062605,0.056216784,90.0,-5.305023,0.6,180.0,0.0
9,0.86430913,0.104233444,0.20630892,0.057196043,100.0,-4.735355,0.5,200.0,0.05
10,0.8639838,0.10452644,0.2063011,0.058126554,110.0,-6.302928,0.5,220.0,0.05
11,0.86346316,0.10463043,0.2061813,0.058666598,120.0,-5.004746,0.8,240.0,0.05
12,0.8630493,0.105396904,0.20638451,0.06209241,130.0,-5.5596304,0.9,260.0,0.0
13,0.8625223,0.10585407,0.2062045,0.06464843,140.0,-5.4969606,0.5,280.0,0.05
14,0.86192536,0.10594932,0.2060563,0.06666944,150.0,-6.9199433,0.8,300.0,0.05
15,0.86147165,0.106175385,0.20597833,0.068261735,160.0,-6.990119,0.6,320.0,0.05
16,0.8614351,0.107581675,0.20592245,0.07004796,170.0,-11.413717,0.1,340.0,0.1
17,0.8606923,0.10926101,0.20597512,0.07229765,180.0,-7.386319,0.7,360.0,0.05
18,0.8602342,0.1106625,0.2061513,0.074344456,190.0,-10.328814,0.1,380.0,0.05
19,0.8596794,0.111059725,0.20601243,0.07583185,200.0,-7.080059,0.7,400.0,0.1
20,0.85933423,0.112350464,0.20583409,0.078276165,210.0,-7.353816,0.5,420.0,0.1
21,0.8588533,0.11311378,0.20575032,0.07921021,220.0,-8.195974,0.6,440.0,0.1
22,0.85831755,0.11378342,0.20563263,0.08134413,230.0,-9.600987,0.5,460.0,0.05
23,0.8580794,0.11529223,0.20549163,0.082884796,240.0,-9.052906,0.5,480.0,0.05
24,0.85756606,0.11642767,0.20547003,0.084859096,250.0,-8.327905,0.5,500.0,0.25
25,0.8573971,0.11653494,0.20541845,0.085968144,260.0,-4.8667965,0.7,520.0,0.15
26,0.8574035,0.11668918,0.20528498,0.086675,270.0,-7.792815,0.5,540.0,0.15
27,0.8570943,0.116714984,0.20524746,0.087832175,280.0,-9.183304,0.5,560.0,0.15
28,0.8568368,0.11713719,0.20528254,0.089095734,290.0,-11.948832,0.4,580.0,0.1
29,0.8565828,0.11725265,0.20528406,0.08955148,300.0,-6.6144247,0.8,600.0,0.25
30,0.8565202,0.11735151,0.2052539,0.09061513,310.0,-5.641168,0.8,620.0,0.3
31,0.8561298,0.11829432,0.20502429,0.09199568,320.0,-7.227523,0.5,640.0,0.25
32,0.8557238,0.11927306,0.20500971,0.093357764,330.0,-12.860544,0.3,660.0,0.15
33,0.8554304,0.1201466,0.20509762,0.0939278,340.0,-5.1039476,0.5,680.0,0.2
34,0.8550435,0.1207819,0.20489198,0.095133,350.0,-6.773967,0.7,700.0,0.2
35,0.8548774,0.12048715,0.20512494,0.09622175,360.0,-5.7903996,0.7,720.0,0.15
36,0.8547616,0.12094482,0.20513867,0.09710373,370.0,-6.046972,0.6,740.0,0.3
37,0.85475653,0.12091979,0.20522851,0.09826583,380.0,-13.393222,0.3,760.0,0.15
38,0.85468245,0.12264258,0.20531546,0.09933425,390.0,-8.303627,0.4,780.0,0.25
39,0.8546894,0.12273029,0.20533094,0.099975,400.0,-10.204712,0.4,800.0,0.3
40,0.85467285,0.122967504,0.20533738,0.100363694,410.0,-5.973469,0.6,820.0,0.25
41,0.8543461,0.12295916,0.20519222,0.100797154,420.0,-3.494199,1.0,840.0,0.3
42,0.85413283,0.12324063,0.20498398,0.101519674,430.0,-7.31906,0.7,860.0,0.15
43,0.85379934,0.12400616,0.20485647,0.1026469,440.0,-7.5571175,0.6,880.0,0.35
44,0.85387754,0.12394323,0.20493159,0.103030704,450.0,-4.9806943,0.8,900.0,0.5
45,0.85393745,0.12439404,0.20472525,0.10364031,460.0,-7.924483,0.6,920.0,0.35
46,0.8537466,0.12411914,0.20465617,0.103896074,470.0,-7.886846,0.6,940.0,0.45
47,0.85383636,0.1244461,0.20462467,0.104533434,480.0,-5.1469855,0.7,960.0,0.25
48,0.85372955,0.1243029,0.20439047,0.10506317,490.0,-10.115435,0.5,980.0,0.45
49,0.85381454,0.12415191,0.20437399,0.10585597,500.0,-10.338427,0.4,1000.0,0.2
50,0.8537998,0.12445322,0.20451573,0.1067608,510.0,-4.445285,0.5,1020.0,0.25
51,0.8537609,0.124398984,0.20452246,0.10705378,520.0,-10.234962,0.3,1040.0,0.45
52,0.85360694,0.12431365,0.20452018,0.10819544,530.0,-5.715263,0.6,1060.0,0.2
53,0.8535431,0.124417044,0.20456085,0.10862978,540.0,-6.4254255,0.7,1080.0,0.3
54,0.85341376,0.124519825,0.20436746,0.10901901,550.0,-7.6443634,0.5,1100.0,0.25
55,0.85365874,0.12444814,0.20431043,0.109408796,560.0,-5.066058,0.7,1120.0,0.4
56,0.85367304,0.12459043,0.20435646,0.110361665,570.0,-5.6098137,0.6,1140.0,0.3
57,0.8536927,0.12453791,0.20424367,0.110793784,580.0,-4.820982,0.4,1160.0,0.35
58,0.8536096,0.12469903,0.20425102,0.11123708,590.0,-6.9443235,0.6,1180.0,0.4
59,0.8535369,0.124566704,0.20440508,0.11184601,600.0,-6.4269056,0.7,1200.0,0.3
60,0.8533938,0.12459782,0.20424873,0.112057716,610.0,-7.8250933,0.5,1220.0,0.5
61,0.8532796,0.12435434,0.20422801,0.11210878,620.0,-5.424895,0.8,1240.0,0.55
62,0.8531032,0.124488294,0.2041457,0.11258196,630.0,-4.254394,0.7,1260.0,0.45
63,0.85311085,0.1242829,0.20425329,0.11265356,640.0,-5.48079,0.6,1280.0,0.4
64,0.85311145,0.124480136,0.20432971,0.11300796,650.0,-4.7657957,0.8,1300.0,0.4
65,0.8532326,0.12448891,0.2044025,0.113474496,660.0,-5.003617,0.5,1320.0,0.4
66,0.8531816,0.12472805,0.2044823,0.11399059,670.0,-7.977151,0.6,1340.0,0.35
67,0.85311204,0.12524217,0.20445298,0.114497416,680.0,-3.2574615,0.8,1360.0,0.35
68,0.8529274,0.12567113,0.20448042,0.11486023,690.0,-5.336195,0.8,1380.0,0.6
69,0.8527817,0.12577504,0.20428914,0.11520197,700.0,-3.8986332,0.8,1400.0,0.45
70,0.8529164,0.12606764,0.20440945,0.11545865,710.0,-4.5777154,0.8,1420.0,0.35
71,0.85271883,0.12654959,0.20433372,0.11561927,720.0,-6.252775,0.6,1440.0,0.45
72,0.85271627,0.12657584,0.20436375,0.11582759,730.0,-3.396791,0.8,1460.0,0.65
73,0.8525014,0.12748176,0.20447958,0.116314575,740.0,-4.781447,0.7,1480.0,0.5
74,0.85282516,0.12829484,0.20460217,0.11681617,750.0,-4.218196,0.9,1500.0,0.35
75,0.8526812,0.12828653,0.20471492,0.11701283,760.0,-3.79692,0.8,1520.0,0.45
76,0.8527372,0.12823516,0.20461471,0.11713672,770.0,-5.9976835,0.7,1540.0,0.4
77,0.8526261,0.12844013,0.20470768,0.11715254,780.0,-3.8823705,0.8,1560.0,0.6
78,0.85253364,0.12850386,0.20481513,0.117249735,790.0,-6.8762217,0.7,1580.0,0.4
79,0.85240906,0.12846424,0.2047566,0.1175531,800.0,-7.9550905,0.7,1600.0,0.45
80,0.85233694,0.1289757,0.20472828,0.11810755,810.0,-3.1409945,0.8,1620.0,0.5
