,epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.869147475,0.10032497,0.20763863249999998,0.03652509125,10.0,-1.487953375,0.22499999999999998,20.0,0.05
1,1.0,0.8687264675,0.10051261125000001,0.20757778000000002,0.040503468,20.0,-2.015076275,0.42500000000000004,40.0,0.0625
2,2.0,0.86841708,0.1007153775,0.207524445,0.042397959250000006,30.0,-3.197482675,0.15000000000000002,60.0,0.0625
3,3.0,0.8677213475,0.1012135925,0.2073235725,0.0442314845,40.0,-3.5868607999999997,0.30000000000000004,80.0,0.0625
4,4.0,0.8670654850000001,0.101755355,0.2072743525,0.0459981585,50.0,-3.490595925,0.575,100.0,0.0625
5,5.0,0.8667008549999999,0.1020294035,0.2071756575,0.0479077445,60.0,-3.9548957,0.575,120.0,0.11249999999999999
6,6.0,0.8662877,0.1022388875,0.20713145,0.04936247925,70.0,-4.395957525,0.675,140.0,0.0875
7,7.0,0.865798675,0.10292088499999999,0.2070798725,0.050982490000000005,80.0,-4.2850226,0.7999999999999999,160.0,0.0625
8,8.0,0.8653279975000001,0.103846104,0.206964455,0.0531578065,90.0,-5.048702075,0.6,180.0,0.0125
9,9.0,0.8650856650000001,0.1043197135,0.20694994,0.054989688749999995,100.0,-4.66938105,0.675,200.0,0.025
10,10.0,0.8645512599999999,0.10478400624999999,0.20687115,0.05642430675,110.0,-6.051433374999999,0.5,220.0,0.0125
11,11.0,0.8641144,0.10523671025,0.206837675,0.057701498749999997,120.0,-6.21407115,0.675,240.0,0.025
12,12.0,0.86373675,0.10599761975000001,0.20689189,0.060240815,130.0,-7.08952435,0.525,260.0,0.0125
13,13.0,0.86327923,0.1068871015,0.2068882975,0.06232858399999999,140.0,-6.1282996,0.625,280.0,0.037500000000000006
14,14.0,0.862751525,0.10732780250000001,0.20682818749999998,0.06423703175,150.0,-6.245137625,0.725,300.0,0.037500000000000006
15,15.0,0.86220363,0.10810661125,0.20673835499999998,0.066230325,160.0,-8.758355375,0.425,320.0,0.05
16,16.0,0.86181095,0.10938587799999999,0.20667434499999998,0.068636305,170.0,-8.714573425000001,0.44999999999999996,340.0,0.05
17,17.0,0.861293365,0.11043403750000001,0.20665440750000003,0.07072485,180.0,-6.29330425,0.7999999999999999,360.0,0.037500000000000006
18,18.0,0.8609069524999999,0.11112067974999999,0.20661968,0.07235279924999999,190.0,-9.1300055,0.42499999999999993,380.0,0.11249999999999999
19,19.0,0.8605820249999999,0.11194270975000001,0.20656491500000002,0.074370736,200.0,-7.4178938,0.675,400.0,0.025
20,20.0,0.8603130749999999,0.1125004255,0.20646282500000002,0.07581654025,210.0,-7.11024615,0.575,420.0,0.1
21,21.0,0.8599898350000001,0.11335360600000001,0.206373245,0.07719031500000001,220.0,-8.3213405,0.625,440.0,0.075
22,22.0,0.8596578375,0.1136207125,0.206340035,0.078735865,230.0,-8.41853725,0.6499999999999999,460.0,0.2
23,23.0,0.8594110150000001,0.1139439625,0.20630135249999998,0.0799296455,240.0,-6.989158675,0.675,480.0,0.15
24,24.0,0.859114165,0.1144765275,0.206258865,0.08144818499999999,250.0,-9.74737125,0.475,500.0,0.23750000000000002
25,25.0,0.85893127,0.11486468,0.20625697,0.08277975600000001,260.0,-7.869721649999999,0.575,520.0,0.175
26,26.0,0.8586187999999999,0.1151698675,0.20617424500000003,0.0837890525,270.0,-7.971403625000001,0.525,540.0,0.175
27,27.0,0.8584188175,0.115543625,0.206125475,0.08526196250000001,280.0,-9.13187325,0.5,560.0,0.175
28,28.0,0.8582087500000002,0.11589036025,0.20613642000000001,0.086483605,290.0,-9.173989275,0.5,580.0,0.21250000000000002
29,29.0,0.858007425,0.11649741250000001,0.206182895,0.08793124499999999,300.0,-6.102488175,0.7750000000000001,600.0,0.15
