epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8680728,0.09952714,0.20738287,0.03371217,10.0,-1.6779823,0.1,20.0,0.15
1,0.86800975,0.09954872,0.20738323,0.034448978,20.0,-2.478334,0.2,40.0,0.1
2,0.86794966,0.099541426,0.207362,0.03518258,30.0,-2.9629896,0.3,60.0,0.05
3,0.8679145,0.099572994,0.20737046,0.035902068,40.0,-3.106792,0.3,80.0,0.0
4,0.8679274,0.099592544,0.20738123,0.036090925,50.0,-4.170657,0.2,100.0,0.0
5,0.867908,0.09973029,0.20739126,0.03759638,60.0,-3.6507983,0.8,120.0,0.1
6,0.86787575,0.09979848,0.20740415,0.038291965,70.0,-4.619316,0.5,140.0,0.15
7,0.867779,0.099868715,0.20738302,0.038596783,80.0,-5.0114737,0.6,160.0,0.1
8,0.8677369,0.09988716,0.20738521,0.03892465,90.0,-5.214513,0.6,180.0,0.05
9,0.8676984,0.09989029,0.2073747,0.03952736,100.0,-5.075448,0.8,200.0,0.15
10,0.8676221,0.10004896,0.2073754,0.04022048,110.0,-6.2689424,0.6,220.0,0.0
11,0.8675925,0.1000733,0.2073704,0.04056834,120.0,-6.8869004,0.4,240.0,0.05
12,0.8675625,0.100101255,0.20737389,0.041244917,130.0,-6.7592072,0.6,260.0,0.0
13,0.8675812,0.10021802,0.20736647,0.042048253,140.0,-7.8604264,0.4,280.0,0.05
14,0.8675256,0.10028287,0.20736311,0.042630218,150.0,-7.9653907,0.6,300.0,0.0
15,0.86747384,0.10038084,0.20737118,0.04327016,160.0,-9.018308,0.4,320.0,0.05
16,0.86743075,0.10038436,0.20736448,0.0435401,170.0,-5.271333,0.7,340.0,0.15
17,0.86738735,0.100409634,0.20734501,0.044213522,180.0,-7.393533,0.7,360.0,0.05
18,0.8673485,0.100444354,0.20734712,0.044704948,190.0,-9.030783,0.4,380.0,0.1
19,0.8673017,0.10048145,0.20733291,0.045031156,200.0,-9.173058,0.6,400.0,0.15
20,0.8672256,0.100519955,0.20732851,0.045404114,210.0,-8.062585,0.6,420.0,0.1
21,0.86717135,0.10059738,0.20731527,0.046164915,220.0,-4.3574924,0.8,440.0,0.15
22,0.8671605,0.10065583,0.20734528,0.046869528,230.0,-9.734964,0.5,460.0,0.2
23,0.8670993,0.10078042,0.20735037,0.047228586,240.0,-10.241041,0.2,480.0,0.2
24,0.86708814,0.10084743,0.20738676,0.04780918,250.0,-8.408366,0.5,500.0,0.2
25,0.8670891,0.10087385,0.20740809,0.048116006,260.0,-12.565844,0.2,520.0,0.25
26,0.8670354,0.100934505,0.207404,0.048530523,270.0,-7.1755686,0.5,540.0,0.1
27,0.86694735,0.10104083,0.20741414,0.048835546,280.0,-4.5235324,0.7,560.0,0.1
28,0.86693573,0.10109407,0.20744357,0.049165096,290.0,-9.806478,0.7,580.0,0.2
29,0.86692446,0.10133507,0.20745455,0.04978548,300.0,-5.518595,0.8,600.0,0.1
30,0.8669204,0.10153023,0.20744778,0.05034055,310.0,-3.8667908,0.9,620.0,0.2
31,0.8669162,0.10157871,0.2074579,0.05061039,320.0,-8.249933,0.6,640.0,0.45
32,0.8668647,0.1016415,0.20744666,0.050936643,330.0,-2.6808598,0.9,660.0,0.35
33,0.86682844,0.10171374,0.20745422,0.051237985,340.0,-8.791872,0.5,680.0,0.2
34,0.86682576,0.10174018,0.20746961,0.05169361,350.0,-7.491571,0.7,700.0,0.25
35,0.866792,0.10181892,0.20747116,0.05229333,360.0,-2.4857383,0.9,720.0,0.15
36,0.8667824,0.10181562,0.20748152,0.0523631,370.0,-7.983088,0.5,740.0,0.45
37,0.86676544,0.10187414,0.20748869,0.052604284,380.0,-7.333013,0.8,760.0,0.35
38,0.86668843,0.10203493,0.2074969,0.053160682,390.0,-3.6623178,0.9,780.0,0.45
39,0.86665964,0.1021052,0.20750801,0.05367317,400.0,-8.948408,0.6,800.0,0.4
40,0.8666571,0.1021825,0.20748793,0.05407218,410.0,-8.977228,0.6,820.0,0.15
41,0.8666155,0.10228262,0.20749016,0.05471771,420.0,-7.43609,0.7,840.0,0.05
42,0.86655146,0.10235261,0.20751607,0.0551355,430.0,-8.66498,0.5,860.0,0.3
43,0.8664867,0.10243261,0.2074963,0.05557604,440.0,-7.8457246,0.5,880.0,0.4
44,0.8664398,0.102517165,0.20751801,0.055933163,450.0,-4.082184,0.8,900.0,0.4
45,0.8663861,0.10264405,0.20754394,0.05625025,460.0,-5.044652,0.7,920.0,0.55
46,0.8662851,0.10274372,0.20753539,0.056609377,470.0,-7.752655,0.6,940.0,0.3
47,0.8662739,0.10281267,0.20759563,0.0570296,480.0,-4.0029573,0.8,960.0,0.4
48,0.86618495,0.10311091,0.20761633,0.057449955,490.0,-7.236529,0.7,980.0,0.2
49,0.8660872,0.1033369,0.20761551,0.05799804,500.0,-10.93866,0.5,1000.0,0.2
50,0.8660423,0.10339639,0.20762344,0.058484115,510.0,-4.6256685,0.9,1020.0,0.2
51,0.8660178,0.10346479,0.2076602,0.058716945,520.0,-4.2755055,0.8,1040.0,0.6
52,0.86599106,0.103487134,0.2076543,0.059023548,530.0,-5.965291,0.8,1060.0,0.4
53,0.86595106,0.10350829,0.20767696,0.05927724,540.0,-4.120099,0.9,1080.0,0.3
54,0.86589426,0.10353645,0.20769751,0.0595008,550.0,-6.0659513,0.8,1100.0,0.6
55,0.86586976,0.10359606,0.20773757,0.05977458,560.0,-3.3297849,0.8,1120.0,0.35
56,0.86584455,0.10360261,0.20776597,0.060090695,570.0,-3.0588574,0.9,1140.0,0.35
57,0.8657551,0.103722155,0.20775837,0.06030664,580.0,-2.4582553,0.9,1160.0,0.5
58,0.8657279,0.103752546,0.20775148,0.060691748,590.0,-5.9238973,0.7,1180.0,0.5
59,0.86570936,0.10385265,0.20777634,0.06100054,600.0,-7.4578605,0.7,1200.0,0.4
60,0.865675,0.10407554,0.20775045,0.06150391,610.0,-3.59224,0.8,1220.0,0.25
61,0.86564016,0.104168616,0.20778686,0.06184124,620.0,-5.623443,0.7,1240.0,0.45
62,0.8655903,0.104305565,0.20777564,0.062410317,630.0,-3.938233,0.8,1260.0,0.25
63,0.86560565,0.104343615,0.20782432,0.06270401,640.0,-3.5377831,0.9,1280.0,0.5
64,0.8655661,0.104381084,0.20782882,0.0630546,650.0,-4.9054976,0.8,1300.0,0.45
65,0.8655394,0.10445068,0.2078228,0.063270494,660.0,-3.068254,1.0,1320.0,0.45
66,0.8655159,0.10451484,0.20784903,0.063456275,670.0,-2.8143852,0.9,1340.0,0.45
67,0.86546546,0.104573965,0.20786299,0.06378602,680.0,-7.5838914,0.4,1360.0,0.6
68,0.8654453,0.10458871,0.2078895,0.064016335,690.0,-2.697131,0.9,1380.0,0.35
69,0.86543816,0.104644716,0.20790401,0.06429584,700.0,-4.401747,0.9,1400.0,0.45
70,0.8654043,0.10480092,0.20792437,0.06455007,710.0,-7.8359175,0.6,1420.0,0.45
71,0.86538,0.104780644,0.20792736,0.06474319,720.0,-4.582654,0.8,1440.0,0.5
72,0.8653097,0.10477606,0.20793745,0.0648559,730.0,-6.8856897,0.5,1460.0,0.7
73,0.8653107,0.1047984,0.20794669,0.064992964,740.0,-2.331969,0.9,1480.0,0.45
74,0.86528635,0.104900904,0.20795509,0.06528385,750.0,-5.3385234,0.9,1500.0,0.65
75,0.8652732,0.104948305,0.20798466,0.06548258,760.0,-2.0741794,0.9,1520.0,0.65
76,0.8652474,0.10502819,0.20799097,0.065734416,770.0,-2.9360816,0.8,1540.0,0.5
77,0.86524695,0.10501156,0.20799585,0.06593509,780.0,-6.7973657,0.7,1560.0,0.25
78,0.86523074,0.10509067,0.20802528,0.06611231,790.0,-2.313295,0.8,1580.0,0.35
79,0.86522794,0.1051114,0.20805211,0.06628544,800.0,-4.0481176,0.8,1600.0,0.55
80,0.865218,0.105140686,0.20808151,0.06648479,810.0,-3.4802597,0.9,1620.0,0.6
81,0.86521095,0.10516101,0.20808186,0.06661239,820.0,-4.679391,0.8,1640.0,0.65
82,0.8652201,0.105182804,0.20810325,0.066808626,830.0,-2.04257,1.0,1660.0,0.45
83,0.86522,0.10525855,0.20812723,0.06707379,840.0,-3.2184052,0.8,1680.0,0.5
84,0.86528534,0.10545745,0.20813018,0.06733222,850.0,-8.087156,0.5,1700.0,0.3
85,0.865253,0.105580516,0.20817137,0.06761113,860.0,-1.7946393,0.8,1720.0,0.4
86,0.86524534,0.10561782,0.20815453,0.06779217,870.0,-2.169104,0.9,1740.0,0.4
87,0.86523324,0.1056543,0.20816489,0.06794065,880.0,-3.7666855,0.9,1760.0,0.5
88,0.8652382,0.1056645,0.20817652,0.06801158,890.0,-5.688667,0.8,1780.0,0.7
89,0.86522096,0.10574033,0.20818228,0.068220645,900.0,-7.6851363,0.7,1800.0,0.4
90,0.86522365,0.105772264,0.20820299,0.068366714,910.0,-3.034475,0.8,1820.0,0.55
91,0.865179,0.105874725,0.20819433,0.06862066,920.0,-3.087731,0.9,1840.0,0.4
92,0.86516625,0.105896555,0.2082113,0.06868722,930.0,-3.787672,0.8,1860.0,0.5
