epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8680508,0.09953141,0.20739976,0.033068743,10.0,-1.8020489,0.0,20.0,0.0
1,0.8680077,0.09954848,0.20736824,0.033849496,20.0,-2.3855278,0.1,40.0,0.0
2,0.8679673,0.09956095,0.20735727,0.034484725,30.0,-3.1159012,0.3,60.0,0.05
3,0.8679157,0.0995694,0.20734826,0.03466256,40.0,-4.0929904,0.1,80.0,0.1
4,0.86788654,0.09957528,0.20733345,0.034985967,50.0,-2.959161,0.8,100.0,0.1
5,0.86782926,0.09959511,0.2073061,0.035157647,60.0,-3.302749,0.8,120.0,0.05
6,0.86776036,0.099667944,0.2073047,0.035474848,70.0,-4.3740015,0.5,140.0,0.2
7,0.8677209,0.099695794,0.20730102,0.036137298,80.0,-4.396634,0.8,160.0,0.05
8,0.86765385,0.0997026,0.20729299,0.036814667,90.0,-5.957876,0.5,180.0,0.1
9,0.867624,0.099716306,0.20728669,0.037064575,100.0,-4.9196854,0.7,200.0,0.15
10,0.86757535,0.09972557,0.20729744,0.037613917,110.0,-6.0057483,0.6,220.0,0.05
11,0.8675452,0.09971374,0.20728493,0.03799885,120.0,-5.2356987,0.7,240.0,0.1
12,0.8674755,0.0997259,0.20724571,0.038576,130.0,-6.2055564,0.8,260.0,0.1
13,0.86747104,0.09981638,0.20724854,0.039428774,140.0,-6.442436,0.6,280.0,0.05
14,0.8674504,0.0998291,0.20724031,0.04009967,150.0,-8.091165,0.6,300.0,0.05
15,0.86740655,0.099843405,0.20722139,0.040723637,160.0,-11.808998,0.0,320.0,0.05
16,0.86737245,0.10011315,0.20721182,0.04172946,170.0,-9.671224,0.4,340.0,0.05
17,0.86732894,0.100126185,0.20717438,0.042532377,180.0,-6.952643,0.4,360.0,0.05
18,0.86726123,0.100175686,0.20713888,0.043536283,190.0,-5.8274355,0.7,380.0,0.15
19,0.86721444,0.100197375,0.20712477,0.044286,200.0,-5.129919,0.8,400.0,0.15
20,0.8672187,0.10027599,0.20708622,0.044899713,210.0,-6.632222,0.6,420.0,0.35
21,0.8672008,0.100334726,0.20707534,0.045709852,220.0,-8.304138,0.7,440.0,0.15
22,0.86717796,0.10047696,0.20710823,0.046462268,230.0,-6.0043225,1.0,460.0,0.1
23,0.8671723,0.100623734,0.20710671,0.047174398,240.0,-5.2792997,0.8,480.0,0.0
24,0.8671215,0.10065448,0.20707773,0.0477071,250.0,-6.803627,0.6,500.0,0.1
25,0.86707217,0.1006791,0.20707206,0.048256334,260.0,-6.4495926,0.8,520.0,0.15
26,0.8670182,0.10071943,0.20706652,0.048813704,270.0,-9.104634,0.8,540.0,0.15
27,0.8670035,0.10076845,0.20705283,0.049187966,280.0,-6.434807,0.8,560.0,0.15
28,0.8669589,0.10077686,0.20704424,0.04950843,290.0,-4.0559053,0.8,580.0,0.2
29,0.86693114,0.100757934,0.20703642,0.04971787,300.0,-6.919445,0.8,600.0,0.3
30,0.8669197,0.100823045,0.2070424,0.050114706,310.0,-6.993371,0.7,620.0,0.2
31,0.86687595,0.100836895,0.20703179,0.050369874,320.0,-9.915827,0.6,640.0,0.25
32,0.8668435,0.10086709,0.20700657,0.050947323,330.0,-7.4162836,0.3,660.0,0.15
33,0.86679775,0.10092195,0.20698673,0.05142064,340.0,-5.7974467,0.8,680.0,0.2
34,0.86675066,0.10101441,0.20698638,0.05168981,350.0,-9.939077,0.6,700.0,0.25
35,0.86668324,0.10101522,0.20698828,0.05202065,360.0,-6.996492,0.7,720.0,0.35
36,0.86663395,0.101088546,0.20697437,0.052319992,370.0,-7.2816954,0.6,740.0,0.3
37,0.8666082,0.10108376,0.20697325,0.05275238,380.0,-7.789602,0.5,760.0,0.35
38,0.86654544,0.101214,0.20697719,0.053144034,390.0,-3.448005,0.9,780.0,0.2
39,0.8665145,0.10129466,0.20698184,0.05368349,400.0,-7.323995,0.6,800.0,0.2
40,0.86646885,0.10136131,0.20697601,0.053954314,410.0,-8.042921,0.5,820.0,0.2
