,epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.8680465150000001,0.09946442275,0.2073952,0.033003954,10.0,-1.84004295,0.025,20.0,0.05
1,1.0,0.8679824225000001,0.09950569499999999,0.2073803,0.033931802000000004,20.0,-2.549487375,0.1,40.0,0.0625
2,2.0,0.867948265,0.0995147765,0.20737412000000002,0.03458512025,30.0,-2.89908265,0.35000000000000003,60.0,0.025
3,3.0,0.867900125,0.0995595785,0.20737444,0.0351575035,40.0,-3.3908789750000006,0.325,80.0,0.037500000000000006
4,4.0,0.8678766474999999,0.09957920599999999,0.2073699375,0.035486303500000003,50.0,-4.0920708999999995,0.375,100.0,0.05
5,5.0,0.8678467725000001,0.099623975,0.2073617325,0.036125610249999995,60.0,-3.849526775,0.7,120.0,0.075
6,6.0,0.8678032875,0.0996672385,0.20735865750000002,0.03660930725,70.0,-4.6652796,0.475,140.0,0.1
7,7.0,0.8677506400000001,0.099712966,0.2073485625,0.037036651749999996,80.0,-4.926487525,0.6499999999999999,160.0,0.0625
8,8.0,0.8676988875,0.099726691,0.207346445,0.03747276575,90.0,-4.87255665,0.675,180.0,0.1
9,9.0,0.86765855,0.0997939625,0.20734764749999998,0.0379344345,100.0,-4.877300025,0.7250000000000001,200.0,0.11250000000000002
10,10.0,0.86761365,0.09986655,0.20734963750000002,0.03857234175,110.0,-6.689648175,0.42500000000000004,220.0,0.037500000000000006
11,11.0,0.86758151,0.09987424,0.2073410575,0.03900503425,120.0,-5.86401295,0.625,240.0,0.0625
12,12.0,0.8675480099999999,0.09990326499999999,0.20732881250000001,0.039489818999999995,130.0,-6.7298335,0.6499999999999999,260.0,0.037500000000000006
13,13.0,0.867514475,0.1000075425,0.20732144,0.04013761625,140.0,-7.2525993500000006,0.5,280.0,0.0625
14,14.0,0.867476955,0.10004568850000001,0.20731784749999999,0.040629739,150.0,-7.738299775000001,0.525,300.0,0.0625
15,15.0,0.8674343675,0.10016508625000001,0.20732305750000002,0.041410961,160.0,-9.291616824999998,0.32499999999999996,320.0,0.037500000000000006
16,16.0,0.86737716,0.100322461,0.2073204775,0.042123193249999996,170.0,-7.35123265,0.65,340.0,0.0625
17,17.0,0.86733879,0.10036336125,0.20730641,0.04286688075,180.0,-8.161656125,0.5,360.0,0.05
18,18.0,0.8672694424999999,0.10044819,0.2072947375,0.04365938525,190.0,-7.331355374999999,0.6000000000000001,380.0,0.1
19,19.0,0.8672363000000001,0.10050801125,0.20728277,0.044248882249999996,200.0,-8.1291045,0.575,400.0,0.11249999999999999
20,20.0,0.86719744,0.100606945,0.20727762749999998,0.0448234725,210.0,-7.816524574999999,0.5750000000000001,420.0,0.1875
21,21.0,0.8671532625,0.10068134399999999,0.20727324750000004,0.0454471845,220.0,-6.734423975,0.7,440.0,0.125
22,22.0,0.867128855,0.1007437375,0.2072846575,0.046073500499999996,230.0,-7.452689125,0.75,460.0,0.1375
23,23.0,0.867104725,0.1008302785,0.207286675,0.04664995525,240.0,-7.296575850000001,0.625,480.0,0.0875
24,24.0,0.867075095,0.1008779725,0.20727993249999999,0.047195875,250.0,-8.711252250000001,0.525,500.0,0.15
25,25.0,0.86703918,0.1009260015,0.2072886675,0.04767933225,260.0,-8.264745000000001,0.625,520.0,0.1625
26,26.0,0.8669905124999999,0.10101764875,0.20729326750000002,0.04827528425,270.0,-7.804106225,0.6000000000000001,540.0,0.2125
27,27.0,0.8669365625000001,0.10110919500000001,0.2073028625,0.0487219135,280.0,-6.6981596,0.65,560.0,0.17500000000000002
28,28.0,0.8668856125,0.1011562875,0.207307195,0.04913211325,290.0,-8.029264575,0.675,580.0,0.125
29,29.0,0.8668262325,0.101296866,0.2072957825,0.049652181249999996,300.0,-7.732873499999999,0.7,600.0,0.2
30,30.0,0.8667888,0.10147386125,0.2072912675,0.050252689,310.0,-6.3369626,0.7,620.0,0.15000000000000002
31,31.0,0.8667246474999999,0.1015972025,0.20729163,0.0506880585,320.0,-7.761231350000001,0.625,640.0,0.325
32,32.0,0.866671875,0.1017306725,0.2072805475,0.051176665249999996,330.0,-7.156825825,0.6249999999999999,660.0,0.27499999999999997
33,33.0,0.8666359874999999,0.1018697775,0.2072755825,0.05173683774999999,340.0,-6.796288775000001,0.65,680.0,0.1625
34,34.0,0.86660197,0.10194026375,0.20727561,0.052160059,350.0,-6.574632125,0.725,700.0,0.25
35,35.0,0.8665554299999999,0.101995475,0.20727519,0.05255371775,360.0,-5.0299493250000005,0.7250000000000001,720.0,0.275
36,36.0,0.8665210875,0.10203931525,0.20726939249999998,0.052794525,370.0,-6.7704347,0.575,740.0,0.3625
37,37.0,0.866477035,0.102119551,0.20727514,0.053210048499999996,380.0,-6.3337369,0.75,760.0,0.3
38,38.0,0.8664247024999999,0.10224566874999999,0.20727589500000002,0.053630465,390.0,-5.259283525000001,0.7999999999999999,780.0,0.33749999999999997
39,39.0,0.866390685,0.102310616,0.20727980499999998,0.05408146675,400.0,-7.05621035,0.6,800.0,0.28750000000000003
40,40.0,0.8663475549999999,0.102394415,0.20726714,0.054474614000000005,410.0,-6.062459325,0.65,820.0,0.25
41,41.0,0.8663137250000001,0.10249386899999999,0.20726909999999998,0.0548572285,420.0,-6.017796075,0.7,840.0,0.325
