,epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.86804382,0.09939841799999999,0.207407575,0.03282870875,10.0,-1.7439607499999998,0.125,20.0,0.05
1,1.0,0.8679958425000001,0.09942978999999999,0.20740247,0.0339531205,20.0,-2.3966013,0.15,40.0,0.037500000000000006
2,2.0,0.867939835,0.099465015,0.20738482,0.034765952499999996,30.0,-2.905655575,0.27499999999999997,60.0,0.0625
3,3.0,0.8678927974999999,0.09952102975,0.20738194499999998,0.035592575,40.0,-3.36908995,0.325,80.0,0.1125
4,4.0,0.867834175,0.09959749999999999,0.20737791,0.036302272,50.0,-3.95703845,0.44999999999999996,100.0,0.075
5,5.0,0.867803545,0.09965430750000001,0.207376685,0.03687600625,60.0,-4.298803400000001,0.525,120.0,0.125
6,6.0,0.8677629375,0.09967438099999999,0.2073679625,0.037219398,70.0,-4.7610095999999995,0.55,140.0,0.05
7,7.0,0.867722975,0.09975894999999999,0.207364775,0.03771653675,80.0,-4.053067925000001,0.6749999999999999,160.0,0.05
8,8.0,0.867670725,0.099794565,0.2073509425,0.037988741,90.0,-5.1909275,0.5,180.0,0.11250000000000002
9,9.0,0.8676439025,0.099815996,0.20734128999999998,0.0384186275,100.0,-5.65701965,0.525,200.0,0.05
10,10.0,0.8675989999999999,0.09983901275,0.2073375475,0.0386860175,110.0,-5.642972824999999,0.6,220.0,0.125
11,11.0,0.8675593325000001,0.09985961775,0.2073315725,0.03912835275,120.0,-6.814193100000001,0.44999999999999996,240.0,0.125
12,12.0,0.8675122525,0.09990671,0.20733169,0.039623367,130.0,-6.976678175,0.525,260.0,0.0875
13,13.0,0.8674731800000001,0.09998225475,0.2073350925,0.040163896,140.0,-5.0754255,0.7749999999999999,280.0,0.05
14,14.0,0.8674556625,0.10005774250000002,0.20734048,0.0407304445,150.0,-7.48823095,0.525,300.0,0.07500000000000001
15,15.0,0.867390965,0.10012465225,0.20733881499999998,0.04118072225,160.0,-7.170266550000001,0.6000000000000001,320.0,0.075
16,16.0,0.8673411974999999,0.10018284350000001,0.2073239375,0.04176286525,170.0,-8.128503375000001,0.4,340.0,0.0375
17,17.0,0.8672999,0.1002176175,0.207321825,0.04221495275,180.0,-7.305755424999999,0.55,360.0,0.08750000000000001
18,18.0,0.8672707525000001,0.10027679625000001,0.20731925499999998,0.042728548500000005,190.0,-7.391456625,0.575,380.0,0.0625
19,19.0,0.867206485,0.1003743185,0.20730879,0.043305543,200.0,-7.416880700000001,0.6000000000000001,400.0,0.075
20,20.0,0.8671708675,0.10048307375,0.2072970875,0.043862875249999995,210.0,-7.8051198500000005,0.625,420.0,0.09999999999999999
21,21.0,0.8671314750000001,0.1005601065,0.207301975,0.044274486,220.0,-7.69143735,0.675,440.0,0.11249999999999999
22,22.0,0.8670898874999999,0.10067434250000001,0.207301175,0.04487561475,230.0,-7.120989675000001,0.6499999999999999,460.0,0.1
23,23.0,0.8670385775,0.100817046,0.20729412749999998,0.04546522,240.0,-7.727464975,0.65,480.0,0.0875
24,24.0,0.8669892250000001,0.10091725775,0.20730040500000002,0.04598739975,250.0,-6.404078725,0.7249999999999999,500.0,0.09999999999999999
25,25.0,0.86694726,0.1010139325,0.20730183749999997,0.04646519375,260.0,-5.775607875,0.8500000000000001,520.0,0.1625
26,26.0,0.8668835749999999,0.10117796874999999,0.20730389,0.0469978055,270.0,-7.1658746749999995,0.75,540.0,0.1875
27,27.0,0.8668514,0.10133292875,0.2072947075,0.0475017225,280.0,-7.35744925,0.7,560.0,0.15000000000000002
28,28.0,0.8667896749999999,0.10148846775,0.20730617750000002,0.048165894,290.0,-5.588986674999999,0.825,580.0,0.1875
29,29.0,0.8667629825,0.10155266400000001,0.2073074875,0.0485403125,300.0,-6.582988925,0.675,600.0,0.25
30,30.0,0.866715145,0.1016379225,0.20730288749999998,0.048905432,310.0,-5.98662005,0.85,620.0,0.2875
